skill_id:ID,skill_name,aliases[],:LABEL
8152,hiring managers / project managers / sr,hiring managers / project managers / sr,SKILL
8153,offsite & offshore,offsite & offshore,SKILL
8154,bms,bms,SKILL
8155,infosys,infosys,SKILL
8156,fedex,fedex,SKILL
8157,it solutions,it solutions;itsolutions,SKILL
8158,mci,mci,SKILL
8159,e-business,e-business,SKILL
8160,application maintenance and network support,application maintenance and network support,SKILL
8161,miracle software inc.'s,miracle software inc.'s,SKILL
8162,wipro,wipro,SKILL
8163,hiring managers / project managers / sr.,hiring managers / project managers / sr.,SKILL
8164,pfizer,pfizer,SKILL
8165,the it solutions,the it solutions,SKILL
8166,"satyam, infosys","satyam, infosys",SKILL
8167,igate,igate,SKILL
8168,d&b,d&b,SKILL
8169,youposition,youposition,SKILL
8170,citi financial,citi financial,SKILL
8171,jeeva ramaswamymiracle software inc4,jeeva ramaswamymiracle software inc4,SKILL
8172,consulting industry,consulting industry,SKILL
8173,it solution and consulting services,it solution and consulting services,SKILL
8174,verbal & interpersonal,verbal & interpersonal,SKILL
8175,fortune 1000,fortune 1000,SKILL
8176,cognizant,cognizant,SKILL
8177,ibm filene,ibm filene,SKILL
8178,ibm case manager,ibm case manager,SKILL
8179,cpu architecture,cpu architecture,SKILL
8180,memory,memory,SKILL
8181,other,other,SKILL
8182,bios,bios,SKILL
8183,fullchip,fullchip,SKILL
8184,intel architecture,intel architecture;internet architecture,SKILL
8185,media core architecture,media core architecture,SKILL
8186,rework,rework,SKILL
8187,i o,i o,SKILL
8188,source,source,SKILL
8189,proejct management,project management;product management;proejct management,SKILL
8190,clarizen,clarizen,SKILL
8191,microsoft dns,microsoft dns,SKILL
8192,windows server 2008 2012 r2,windows server 2008 2012 r2,SKILL
8193,chef puppet,chef puppet,SKILL
8194,smtp powershell dsc,smtp powershell dsc,SKILL
8195,virtualization hyperv or vmware,virtualization hyperv or vmware,SKILL
8196,ess,ess,SKILL
8197,people tools,people tools,SKILL
8198,ims db dc,ims db dc,SKILL
8199,redis or hadoop,redis or hadoop,SKILL
8200,rspec,rspec,SKILL
8201,ant scripts,ant scripts,SKILL
8202,ispf,ispf,SKILL
8203,db2 stored procedures,db2 stored procedures,SKILL
8204,mainframe developer,mainframe developer,SKILL
8205,sr business analyst,a business analyst;business analyst;sr business analyst,SKILL
8206,commercial property  casualty,commercial property  casualty,SKILL
8207,guidewire policycenter,guidewire policycenter,SKILL
8208,oracle mdm,oracle mdm,SKILL
8209,oracle pdh,oracle pdh,SKILL
8210,oracle edq,oracle edq,SKILL
8211,doctrine,doctrine,SKILL
8212,frameworks,frameworks,SKILL
8213,it risk management,risk management;it risk management;project risk management,SKILL
8214,tracking and monitoring,tracking and monitoring,SKILL
8215,action planning,action planning;motion planning,SKILL
8216,execution,execution,SKILL
8217,remediation,remediation;bioremediation,SKILL
8218,mlr,mlr,SKILL
8219,clm,clm,SKILL
8220,aix linux unix,aix linux unix,SKILL
8221,apl,apl,SKILL
8222,active directory group policy administration,active directory group policy administration,SKILL
8223,sccm administration,sccm administration;system administration,SKILL
8224,basic networking fundamentals troubleshooting,basic networking fundamentals troubleshooting,SKILL
8225,ip administration,ip administration,SKILL
8226,technology road maps,technology road maps,SKILL
8227,rf engineering,engineering;rf engineering,SKILL
8228,wireless lan,wireless lan,SKILL
8229,reporting and analytic solutions,reporting and analytic solutions,SKILL
8230,av,av,SKILL
